iter	Passed	Remaining
714	1194	476
715	1195	474
716	1197	472
717	1198	470
718	1199	468
719	1200	466
720	1201	464
721	1202	462
722	1203	461
723	1204	459
724	1205	457
725	1206	455
726	1209	454
727	1210	452
728	1211	450
729	1212	448
730	1213	446
731	1215	444
732	1216	442
733	1217	441
734	1218	439
735	1219	437
736	1220	435
737	1222	433
738	1223	432
739	1225	430
740	1226	428
741	1227	426
742	1228	424
743	1229	422
744	1230	421
745	1231	419
746	1232	417
747	1233	415
748	1234	413
749	1235	411
750	1236	410
751	1237	408
752	1239	406
753	1240	404
754	1241	402
755	1242	401
756	1243	399
757	1244	397
758	1245	395
759	1246	393
760	1248	391
761	1249	390
762	1250	388
763	1251	386
764	1252	384
765	1254	383
766	1255	381
767	1256	379
768	1257	377
769	1258	375
770	1259	374
771	1260	372
772	1261	370
773	1262	368
774	1264	367
775	1265	365
776	1266	363
777	1267	361
778	1269	360
779	1270	358
780	1271	356
781	1273	354
782	1274	353
783	1275	351
784	1276	349
785	1277	347
786	1278	346
787	1279	344
788	1280	342
789	1283	341
790	1284	339
791	1286	337
792	1288	336
793	1289	334
794	1290	332
795	1292	331
796	1293	329
797	1294	327
798	1295	325
799	1296	324
800	1298	322
801	1299	320
802	1301	319
803	1302	317
804	1303	315
805	1304	313
806	1305	312
807	1306	310
808	1307	308
809	1308	306
810	1309	305
811	1310	303
812	1312	301
813	1314	300
814	1315	298
815	1316	296
816	1317	295
817	1318	293
818	1319	291
819	1320	289
820	1321	288
821	1322	286
822	1323	284
823	1324	283
824	1326	281
825	1327	279
826	1329	278
827	1330	276
828	1331	274
829	1332	272
830	1333	271
831	1334	269
832	1335	267
833	1336	266
834	1337	264
835	1338	262
836	1339	260
837	1340	259
838	1343	257
839	1344	256
840	1345	254
841	1346	252
842	1347	250
843	1348	249
844	1349	247
845	1350	245
846	1351	244
847	1352	242
848	1353	240
849	1355	239
850	1356	237
851	1358	235
852	1359	234
853	1360	232
854	1361	230
855	1362	229
856	1363	227
857	1364	225
858	1365	224
859	1366	222
860	1367	220
861	1368	219
862	1369	217
863	1370	215
864	1372	214
865	1373	212
866	1374	210
867	1376	209
868	1377	207
869	1378	205
870	1379	204
871	1380	202
872	1381	201
873	1382	199
874	1383	197
875	1385	196
876	1387	194
877	1388	192
878	1389	191
879	1390	189
880	1391	188
881	1392	186
882	1394	184
883	1395	183
884	1396	181
885	1397	179
886	1398	178
887	1399	176
888	1400	174
889	1402	173
890	1404	171
891	1405	170
892	1406	168
893	1407	166
894	1408	165
895	1409	163
896	1410	161
897	1411	160
898	1412	158
899	1413	157
900	1414	155
901	1415	153
902	1417	152
903	1418	150
904	1419	149
905	1420	147
906	1421	145
907	1422	144
908	1423	142
909	1424	140
910	1426	139
911	1427	137
912	1428	136
913	1429	134
914	1430	132
915	1432	131
916	1434	129
917	1435	128
918	1437	126
919	1438	125
920	1439	123
921	1440	121
922	1441	120
923	1442	118
924	1443	117
925	1444	115
926	1445	113
927	1447	112
928	1448	110
929	1449	109
930	1451	107
931	1452	105
932	1453	104
933	1454	102
934	1456	101
935	1457	99
936	1458	98
937	1459	96
938	1460	94
939	1462	93
940	1463	91
941	1464	90
942	1465	88
943	1466	87
944	1468	85
945	1469	83
946	1471	82
947	1473	80
948	1475	79
949	1478	77
950	1479	76
951	1480	74
952	1481	73
953	1482	71
954	1484	69
955	1485	68
956	1486	66
957	1487	65
958	1488	63
959	1489	62
960	1492	60
961	1494	59
962	1495	57
963	1496	55
964	1496	54
965	1498	52
966	1499	51
967	1500	49
968	1501	48
969	1502	46
970	1503	44
971	1504	43
972	1506	41
973	1508	40
974	1509	38
975	1510	37
976	1511	35
977	1512	34
978	1513	32
979	1514	30
980	1515	29
981	1516	27
982	1517	26
983	1518	24
984	1520	23
985	1522	21
986	1523	20
987	1524	18
988	1525	16
989	1526	15
990	1527	13
991	1528	12
992	1529	10
993	1531	9
994	1532	7
995	1533	6
996	1534	4
997	1536	3
998	1537	1
999	1538	0
